Partnership,Statutory authority,Policy clearance,Grant administration,Payments,Enforcement,Outreach
Child Care Access Means Parents in School,ED,ED,ED + HHS,ED + HHS,ED + HHS,HHS
Civil Rights,ED,ED,ED,ED,ED + Justice,ED
Elementary and Secondary Education,ED,ED,ED + Labor,ED + Labor,ED + Labor,Labor
Family Engagement and School Support,ED,ED,ED + HHS,ED + HHS,ED + HHS,HHS
Federal Student Assistance,ED,ED + Treasury,ED,ED + Treasury,ED + Treasury,ED
Foreign Medical Accreditation,ED,ED,NOT ADDRESSED,ED,NOT ADDRESSED,ED
Indian Education,ED,ED,ED + Interior,ED + Interior,ED + Interior,Interior
International Education and Foreign Language Studies,ED,ED,ED + State Dept,ED + State Dept,ED + State Dept,State Dept
Postsecondary Education,ED,ED,ED + Labor,ED + Labor,ED + Labor,Labor
Section 117,ED,ED,NOT ADDRESSED,ED,ED + State Dept,State Dept
Special Education and Rehabilitative Services,ED,ED,ED + HHS,ED + HHS,ED + HHS,ED + HHS
Student Privacy Protection,ED,ED,NOT ADDRESSED,ED,ED + Justice,ED
Training and Advisory Services,ED,ED,ED,ED,ED,Justice
Workforce Development,ED,ED,ED + Labor,ED + Labor,ED + Labor,Labor
